"Name","Description","List","Labels","Due Date","Members","Type","Priority","Area","Story Points"
"Rotate leaked Supabase credentials","URGENT and still open.

Commit 78a8f61 put the Postgres password, connection string and platform-wide service_role_key in plaintext on a PUBLIC GitHub repo on 27 Aug. Commit defc573 removed the file from tracking, but the values remain readable in git history and stay live until rotated.

Escalated 3 Sep: migrations 0010/0020/0030 were applied to that same Supabase project (fpjevusrpausqunjhubk, schema tawan_ai) - 59 tables, 96 indexes verified. The project with publicly-exposed credentials now holds the real commerce schema.

Only the Supabase project owner can do this.

DONE = Postgres password rotated, service_role_key regenerated, new values distributed out-of-band (never committed), and the rotation date recorded.

Blocks: every real-data test in Tawan (named explicitly in docs/tawan/PHASE_1_ROADBLOCKS.md).","Blocked","Duply Platform,Critical,blocked","2026-09-04","First (Touchap)","Task","Critical","Duply Platform","2"
"Add RLS policies to new tawan_ai tables","Surfaced by the 3 Sep migration run, recorded in docs/tawan/CURRENT_TASK_STATUS.md:

""Supabase warned that the new tables were created without Row Level Security; the migration was run unchanged and without RLS to preserve the approved scope. RLS policies and runtime authorization must be completed before storing customer data or exposing these tables through client keys.""

Migrations 0010/0020/0030 created 12 new tables in tawan_ai with NO RLS. Combined with the still-unrotated public service_role_key, this is the highest-exposure item on the board.

HARD GATE: no customer data goes into these tables, and no client key is pointed at them, until this is closed.

Relates to TWN-0303 (per-store least-privilege schema roles) and TWN-0307 (cross-store adversarial tests) - this is the platform-side prerequisite for both.","Blocked","Duply Platform,Critical,blocked","2026-09-09","First (Touchap)","Task","Critical","Duply Platform","5"
"TWN-0101: grant read-only access to Duply repos","The actual trigger that unblocks Milestone 1. CURRENT_TASK_STATUS.md lists this as the only card in Ready state - everything needed exists, it just needs the human access grant.

Read-only access required to: Duply runtime, data/Supabase, dashboard, and deployment repositories.

Unblocks TWN-0102 through TWN-0107, which unblock TWN-0108, which unblocks Milestones 3-10. Eight cards sit Blocked behind this one.

Per PHASE_1_ROADBLOCKS.md: give read-only access first, and do NOT put production secrets in chat or Git - the reason that warning exists is on the credential-rotation card.

Also record one named technical owner per system: runtime, data, LINE, dashboard, legal/security, operations.","Blocked","Duply Platform,Critical,gate","2026-09-05","First (Touchap)","Task","Critical","Duply Platform","2"
"Answer TWN-0104 to TWN-0107 platform interface contracts","The single largest unblock in the project. TWN-0108 waits on all four; Milestones 3-10 wait on TWN-0108.

TWN-0104 knowledge / vector / memory / raw-message contracts
TWN-0105 command authorization, idempotency, cache, queue, object storage
TWN-0106 LINE media, Flex, image validation, delivery contracts
TWN-0107 migration, rollback, backup, restore, cost-ledger interfaces

docs/tawan/PHASE_1_ROADBLOCKS.md carries the full required-output checklist for each. TWN-0102 (LINE destination/Store Context) and TWN-0103 (runtime dispatch/tool registry) are blocked on the same access.

Note: the real first step is TWN-0101, not these four. CURRENT_TASK_STATUS.md's next-order opens with ""Friend provides read-only access for Duply runtime, Supabase/data, dashboard, and deployment"" - so access is grantable from inside the team, not an unbounded external dependency.","In Review","Duply Platform,Critical,gate","2026-09-07","First (Touchap)","Epic","Critical","Duply Platform","8"
"A/B test: Gemini 3.1 Flash Lite vs GPT-5.4-mini","GATE - no prompt polish anywhere in Thay proceeds until this resolves.

Compare the two models on:
- Thai naturalness
- proactive weaving (does it raise things unprompted, in character)

DONE = a written decision naming the model that backs chat.reply, with evidence attached, so downstream prompt work targets one model instead of hedging.

Both sides are paid calls - ledger each one at success time, BEFORE parsing the response.","Done","Thay,Critical,gate,cost-tracked","2026-09-07","Heng (Wasu)","Task","Critical","Thay","3"
"UX polish: LINE Rich Menu (3 buttons)","Watchlist / Theme / Macro+Sector.

Pure LINE config - NOT gated by the A/B test, so it can move any time capacity allows.","To Do","Thay,High,quick-win","2026-09-08","Heng (Wasu)","Task","High","Thay","2"
"UX polish: onboarding first-command examples","Show example first commands so a new user isn't facing an empty chat.

Gated by the A/B decision - the copy and prompt wording shouldn't be tuned against a model that might be dropped.","To Do","Thay,High","2026-09-09","Heng (Wasu)","Task","High","Thay","2"
"Invest domain: design PM to Writer architecture","PM agent (Claude Opus) makes paper-portfolio calls with reasoning captured, then Writer agent (Claude Sonnet) turns those calls into post drafts.

Decide: portfolio rules, what gets tracked, how reasoning is captured, what a ""call"" record looks like, where state lives.","To Do","Thay,Critical","2026-09-10","Heng (Wasu)","Task","Critical","Thay","3"
"Invest domain: build PM agent (Opus)","Position selection plus reasoning capture. Recurring Opus spend - ledger every call at success time.

This and the Writer agent are the tightest estimates in the month. If either slips, cut scope rather than pushing the 16 Sep shadow start.","To Do","Thay,Critical,cost-tracked","2026-09-11","Heng (Wasu)","Task","Critical","Thay","5"
"Invest domain: build Writer agent (Sonnet)","Turns PM calls into post drafts in Thay's voice - dry, calm, no hype, no guaranteed-return language, per marketing/brand/thay-brand-brief.md.

Voice tuning here is gated by the A/B model decision. Recurring Sonnet spend - ledger every call.","Backlog","Thay,Critical,cost-tracked","2026-09-14","Heng (Wasu)","Task","Critical","Thay","5"
