Name,Task ID,Milestone,Area,Priority,Sprint Plan,Status,Plan,Type,Depends On,Acceptance,Source,Source Path,Source Commit
[TWN-0001] Reconcile the historical Notion draft against approved Git records,TWN-0001,Milestone 0 - Documentation And Handoff,Product,High,Sprint 1,Review,Shared,Review,-,"Every stale tenancy, payment, Campaign, export, and implementation claim is mapped to its replacement or archive action",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0002] Maintain the canonical Tawan product and technical documents,TWN-0002,Milestone 0 - Documentation And Handoff,Product,Critical,Sprint 1,Done,Shared,Task,-,"Product, architecture, data, security, decisions, and implementation documents are committed and internally consistent",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0003] Preserve Thai PDPA research and counsel questions,TWN-0003,Milestone 0 - Documentation And Handoff,Legal,High,Sprint 1,Done,Shared,Research,-,Research cites primary authorities and is clearly labelled as non-legal advice,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0004] Maintain the portable Tawan handoff skill,TWN-0004,Milestone 0 - Documentation And Handoff,Operations,High,Sprint 1,Done,Shared,Task,TWN-0002,"A fresh AI account reconstructs tier, status, blockers, and next milestone without chat history",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0005] Publish approved Tawan commits to the canonical GitHub default branch,TWN-0005,Milestone 0 - Documentation And Handoff,Operations,Critical,Sprint 1,Blocked,Shared,Task,Owner push approval,Full SHA is reachable from `origin` default branch and no unrelated files are pushed,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0006] Add verified Markdown source links to the Notion hub,TWN-0006,Milestone 0 - Documentation And Handoff,Operations,High,Sprint 1,Blocked,Shared,Task,TWN-0005,Every required link opens in the intended friend/AI context and uses the full permanent SHA,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0007] Reconcile existing Tawan Board records by stable Task ID,TWN-0007,Milestone 0 - Documentation And Handoff,Operations,High,Sprint 1,Blocked,Shared,Task,"Notion API/session access, TWN-0006",Dry-run mapping is owner-approved before existing records are updated; no human record is merged or archived without explicit approval; comments are preserved,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0101] Obtain read-only access to runtime, data, dashboard, and deployment repositories",TWN-0101,Milestone 1 - Runtime And Data Discovery,Operations,Critical,Sprint 1,Ready,Shared,Task,Human access grants,"Repository names, owners, access limits, and contacts are recorded without exposing credentials",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0102] Verify LINE destination-to-Duple and Store Context resolution,TWN-0102,Milestone 1 - Runtime And Data Discovery,LINE,Critical,Sprint 2,Blocked,Shared,Research,TWN-0101,"Actual webhook path, identity inputs, failure behavior, and trusted boundary are documented",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0103] Verify archetype loading, agent dispatch, roles, and tool registry",TWN-0103,Milestone 1 - Runtime And Data Discovery,Platform,Critical,Sprint 2,Blocked,Shared,Research,TWN-0101,Real interfaces and compatibility constraints for shared Tawan code are documented,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
